Entity,Year,gini,reporting_gdp
El Salvador,2019,0.387787639,3993.529062
Estonia,1993,0.395034482,6803.676686
Estonia,1995,0.300647959,7134.660923
Estonia,1998,0.376430764,9153.382982
Estonia,2000,0.357843981,9956.134274
Estonia,2001,0.360124548,10621.30694
Estonia,2002,0.357915744,11412.57736
Estonia,2003,0.349096243,12357.27768
Estonia,2004,0.353781887,13277.20489
Estonia,2005,0.334489426,14625.50435
Estonia,2006,0.336710717,16148.71176
Estonia,2007,0.311801582,17452.07837
Estonia,2008,0.319170781,16600.89051
Estonia,2009,0.314436122,14199.68319
Estonia,2010,0.320012011,14579.974
Estonia,2011,0.324916332,15686.47909
Estonia,2012,0.329157605,16250.93541
Estonia,2013,0.350797851,16546.72749
Estonia,2014,0.345915563,17089.77037
Estonia,2015,0.326703299,17395.04062
Estonia,2016,0.311968259,17938.72927
Estonia,2017,0.303550262,18954.78591
Estonia,2018,0.303214513,19669.76485
Estonia,2019,0.307675428,20399.56934
Eswatini,1994,0.604547258,2269.52505
Eswatini,2000,0.531135202,2471.558841
Eswatini,2009,0.514526044,3205.875216
Eswatini,2016,0.545797937,3686.215665
Ethiopia,1995,0.445645132,254.055719
Ethiopia,1999,0.299757967,257.9901016
Ethiopia,2004,0.29806853,297.5449254
Ethiopia,2010,0.331706008,470.9552753
Ethiopia,2015,0.349931232,660.6060113
Ethiopia - rural,1981,0.324249563,300.758668
Fiji,2002,0.381020545,4300.641278
Fiji,2008,0.403755861,4532.013247
Fiji,2013,0.366965967,4901.89758
Fiji,2019,0.307068674,5869.021144
Finland,1987,0.221713987,28399.45168
Finland,1991,0.228797617,29266.59144
Finland,1995,0.23459137,29900.87062
Finland,2000,0.271566266,37869.1588
Finland,2003,0.276866041,40028.20388
Finland,2004,0.278977659,41505.47988
Finland,2005,0.276195937,42513.519
Finland,2006,0.279990754,44056.30967
Finland,2007,0.282855715,46194.05983
Finland,2008,0.278382083,46339.98058
Finland,2009,0.274554457,42395.04483
Finland,2010,0.27714088,43546.05619
Finland,2011,0.276428194,44448.93852
Finland,2012,0.270966304,43619.70304
Finland,2013,0.271939589,43027.68962
Finland,2014,0.26776976,42693.74812
Finland,2015,0.271020423,42784.69836
Finland,2016,0.270784844,43861.32391
Finland,2017,0.273830854,45155.46603
Finland,2018,0.273297728,45610.57926
Finland,2019,0.277373299,46116.52771
France,1978,0.351675048,22593.2059
France,1984,0.368579815,24564.04948
France,1989,0.321712496,27843.40811
France,1994,0.323305249,29225.95045
France,2000,0.310860624,33583.85744
France,2003,0.314111173,34176.55573
France,2004,0.306473396,34885.84386
France,2005,0.29834014,35199.73432
France,2006,0.296910916,35811.34379
France,2007,0.324277274,36453.43482
France,2008,0.329964768,36342.70399
France,2009,0.326612694,35117.32352
France,2010,0.337204815,35625.47404
France,2011,0.332947505,36230.96922
France,2012,0.331148587,36168.93936
France,2013,0.325126351,36190.61048
France,2014,0.32262184,36363.99158
France,2015,0.327043351,36638.18493
France,2016,0.319237441,36941.93624
France,2017,0.316320654,37678.9273
France,2018,0.323806885,38276.46942
Gabon,2005,0.421849864,7504.259959
Gabon,2017,0.380243723,7145.117564
Gambia,1998,0.485194646,690.9004003
Gambia,2003,0.473316241,724.470294
Gambia,2010,0.435684335,753.1767906
Gambia,2015,0.35918831,660.7235712
Georgia,1996,0.371327073,1191.181062
Georgia,1997,0.40696073,1359.392793
Georgia,1998,0.412500082,1436.711916
Georgia,1999,0.401497665,1508.656511
Georgia,2000,0.404781133,1566.560257
Georgia,2001,0.395741324,1667.508007
Georgia,2002,0.372493777,1774.636442
Georgia,2003,0.366550826,1984.244331
Georgia,2004,0.361753568,2112.261319
Georgia,2005,0.37379339,2329.570854
Georgia,2006,0.368686238,2563.543091
Georgia,2007,0.381130823,2901.104094
Georgia,2008,0.385348533,2980.309535
Georgia,2009,0.382374032,2897.130877
Georgia,2010,0.394614637,3100.723427
Georgia,2011,0.395957157,3356.997868
Georgia,2012,0.38954768,3597.203764
Georgia,2013,0.385890191,3738.70504
Georgia,2014,0.375541344,3902.568799
Georgia,2015,0.365036756,4014.185944
Georgia,2016,0.366396489,4128.385603
Georgia,2017,0.379397331,4327.727585
Georgia,2018,0.364113631,4539.087522
Georgia,2019,0.359007652,4773.423309
Georgia,2020,0.344651871,4458.102011
Germany,1991,0.294398475,30754.55822
Germany,1992,0.291688769,31108.55743
Germany,1993,0.28675587,30602.8305
Germany,1994,0.292444552,31226.31856
Germany,1995,0.289876628,31615.44279
Germany,1996,0.283749419,31778.08441
Germany,1997,0.283144724,32300.30457
Germany,1998,0.282861958,32945.82141
Germany,1999,0.291181605,33545.90584
Germany,2000,0.289400222,34476.20803
Germany,2001,0.300966951,34996.99124
Germany,2002,0.299411363,34869.03232
Germany,2003,0.300628368,34605.74422
Germany,2004,0.302880037,35019.99414
Germany,2005,0.318065533,35296.27286
Germany,2006,0.311941216,36684.6907
Germany,2007,0.313695959,37827.14217
Germany,2008,0.309044437,38262.9221
Germany,2009,0.304794277,36175.84148
Germany,2010,0.30319774,37745.73075
Germany,2011,0.30847554,39961.26765
Germany,2012,0.310557889,40053.2429
Germany,2013,0.314524666,40118.87838
Germany,2014,0.308718557,40834.73633
Germany,2015,0.315833424,41086.72967
Germany,2016,0.315743259,41665.27277
Germany,2017,0.312019051,42622.40993
Germany,2018,0.316984109,42956.01129
Ghana,1987,0.353495778,847.1364371
Ghana,1988,0.359935409,869.4706255
Ghana,1991,0.384372308,911.5963092
Ghana,1998,0.400726244,1009.472437
Ghana,2005,0.427655359,1175.86166
Ghana,2012,0.423732053,1686.069544
Ghana,2016,0.43520879,1793.180856
Greece,1995,0.369755724,15940.48145
Greece,2000,0.342391949,18635.38697
Greece,2003,0.32762338,21096.43844
Greece,2004,0.3359099,22109.35842
Greece,2005,0.345982328,22176.69644
Greece,2006,0.351238048,23359.95667
Greece,2007,0.339535755,24063.32124
Greece,2008,0.335893624,23919.08815
Greece,2009,0.336190574,22830.26326
Greece,2010,0.341033282,21551.68438
Greece,2011,0.34849412,19393.00707
Greece,2012,0.362510008,18116.38395
Greece,2013,0.361273606,17789.10216
Greece,2014,0.358095055,17993.18087
Greece,2015,0.360002595,18076.60676
Greece,2016,0.349586399,18063.51485
Greece,2017,0.343520211,18296.9479
Greece,2018,0.328912053,18639.99795
Greece,2019,0.331044562,18996.188
Guatemala,1986,0.582569038,2647.957698
Guatemala,1989,0.59598774,2725.106751
Guatemala,2000,0.54176521,3195.39434
Guatemala,2006,0.545707214,3427.678267
Guatemala,2014,0.482785895,3903.059615
Guinea,1991,0.468430484,554.0437371
Guinea,1994,0.460816095,576.6893925
Guinea,2002,0.430041636,657.2217812
Guinea,2007,0.393553469,683.9001161
Guinea,2012,0.337297046,737.7130522
Guinea,2018,0.29591953,920.9642433
Guinea-Bissau,1993,0.436102263,677.9988269
Guinea-Bissau,2002,0.355697459,559.5562081
Guinea-Bissau,2010,0.506642399,585.691609
Guinea-Bissau,2018,0.347652304,637.5466812
Guyana,1992, ,2721.537425
Guyana,1998,0.451181417,3756.303212
Haiti,2001,0.594766184,1287.326181
Haiti,2012,0.411037737,1338.847477
Honduras,1989,0.594901486,1728.697388
Honduras,1990,0.573567273,1726.537337
Honduras,1991,0.518506698,1622.315882
Honduras,1992,0.518284552,1672.918454
Honduras,1993,0.53467448,1732.13298
Honduras,1994,0.550101702,1687.456858
Honduras,1995,0.554854765,1741.666305
Honduras,1996,0.557215636,1724.174621
Honduras,1997,0.527339999,1752.476547
Honduras,1998,0.574254285,1764.408913
Honduras,1999,0.553513401,1703.041958
Honduras,2001,0.553607194,1778.350661
Honduras,2002,0.55730958,1797.890101
Honduras,2003,0.581212507,1832.809077
Honduras,2004,0.581339135,1899.81477
Honduras,2005,0.595115911,1967.217298
Honduras,2006,0.575427779,2048.267568
Honduras,2007,0.558203073,2126.491634
Honduras,2008,0.55499907,2168.587491
Honduras,2009,0.512833228,2071.770755
Honduras,2010,0.530870659,2106.002756
Honduras,2011,0.525597856,2144.69981
Honduras,2012,0.533707098,2191.888954
Honduras,2013,0.499597518,2212.660108
Honduras,2014,0.498785863,2240.334719
Honduras,2015,0.49249893,2286.203037
Honduras,2016,0.498118602,2334.75241
Honduras,2017,0.494455265,2406.747191
Honduras,2018,0.489377845,2457.966708
Honduras,2019,0.481681674,2482.120205
Honduras - urban,1986,0.550930297,1693.181616
Hungary,1987,0.209600307,8755.125395
Hungary,1989,0.250477788,8888.082772
Hungary,1991,0.296339535,7592.284598
Hungary,1993,0.279409738,7328.460343
Hungary,1994,0.332893951,7554.775533
Hungary,1998,0.263819211,8284.998774
Hungary,1999,0.27635403,8563.656463
Hungary,2000,0.272205813,8970.511234
Hungary,2001,0.269244844,9357.417441
Hungary,2002,0.268378903,9829.027463
Hungary,2003,0.309257555,10259.84194
Hungary,2004,0.300224274,10796.76186
Hungary,2005,0.301910202,11282.92991
Hungary,2006,0.289589177,11746.63121
Hungary,2007,0.311550914,11797.42897
Hungary,2008,0.275140432,11937.04911
Hungary,2009,0.269596398,11167.02945
Hungary,2010,0.294442259,11313.52289
